id,area,name,other_names,gender,group,term,start_date,end_date,source
,South Wales West,David Lloyd,David Rhys Lloyd,male,Plaid Cymru,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Mid and West Wales,Delyth Evans,,female,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Conwy,Denise Idris Jones,,female,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Gower,Edwina Hart,,female,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Gower,Edwina Hart,,female,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Gower,Edwina Hart,,female,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,North Wales,Eleanor Burnham,,female,Welsh Liberal Democrats,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,North Wales,Eleanor Burnham,,female,Welsh Liberal Democrats,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,North Wales,Eleanor Burnham,,female,Welsh Liberal Democrats,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Ceredigion,Elin Jones,,female,Plaid Cymru,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Ceredigion,Elin Jones,,female,Plaid Cymru,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Ceredigion,Elin Jones,,female,Plaid Cymru,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Conwy,Gareth Jones,,male,Plaid Cymru,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Aberconwy,Gareth Jones,,male,Plaid Cymru,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Rhondda,Geraint Davies,,male,Plaid Cymru,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Mid and West Wales,Glyn Davies,,male,Welsh Conservative Party,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Mid and West Wales,Glyn Davies,,male,Welsh Conservative Party,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Neath,Gwenda Thomas,,female,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Neath,Gwenda Thomas,,female,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Neath,Gwenda Thomas,,female,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Mid and West Wales,Helen Mary Jones,,female,Plaid Cymru,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Llanelli,Helen Mary Jones,,female,Plaid Cymru,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
